M,Rank,Lunar_Month,lunar_day,Source,colony_id,Tank,RO,Temp
M1,1,Sep,26,IL,I1,T1,NA,NA
M1,2,Sep,27,IL,I1,T1,NA,NA
M1,3,Sep,28,IL,I1,T1,NA,NA
M1,4,Sep,29,IL,I1,T1,NA,NA
M1,5,Oct,1,IL,I1,T1,3,NA
M1,6,Oct,2,IL,I1,T1,0,NA
M1,7,Oct,3,IL,I1,T1,19,NA
M1,8,Oct,4,IL,I1,T1,11,NA
M1,9,Oct,5,IL,I1,T1,16,NA
M1,10,Oct,6,IL,I1,T1,18,NA
M1,11,Oct,7,IL,I1,T1,2,NA
M1,12,Oct,8,IL,I1,T1,6,NA
M1,13,Oct,9,IL,I1,T1,1,NA
M1,14,Oct,10,IL,I1,T1,0,26.15322222
M1,15,Oct,11,IL,I1,T1,0,25.82140972
M1,16,Oct,12,IL,I1,T1,0,26.21244444
M1,17,Oct,13,IL,I1,T1,0,25.99104861
M1,18,Oct,14,IL,I1,T1,0,25.66329167
M1,19,Oct,15,IL,I1,T1,0,25.88149306
M1,20,Oct,16,IL,I1,T1,0,26.04179861
M1,21,Oct,17,IL,I1,T1,0,25.71577083
M1,22,Oct,18,IL,I1,T1,0,26.05463194
M1,23,Oct,19,IL,I1,T1,0,26.19965278
M1,24,Oct,20,IL,I1,T1,NA,25.88213889
M1,25,Oct,21,IL,I1,T1,NA,25.56190972
M1,26,Oct,22,IL,I1,T1,NA,25.95595139
M1,27,Oct,23,IL,I1,T1,NA,26.56115278
M1,28,Oct,24,IL,I1,T1,NA,26.25649306
M1,1,Sep,26,IL,I2,T1,NA,NA
M1,2,Sep,27,IL,I2,T1,NA,NA
M1,3,Sep,28,IL,I2,T1,NA,NA
M1,4,Sep,29,IL,I2,T1,NA,NA
M1,5,Oct,1,IL,I2,T1,0,NA
M1,6,Oct,2,IL,I2,T1,0,NA
M1,7,Oct,3,IL,I2,T1,8,NA
M1,8,Oct,4,IL,I2,T1,12,NA
M1,9,Oct,5,IL,I2,T1,1,NA
M1,10,Oct,6,IL,I2,T1,3,NA
M1,11,Oct,7,IL,I2,T1,5,NA
M1,12,Oct,8,IL,I2,T1,35,NA
M1,13,Oct,9,IL,I2,T1,67,NA
M1,14,Oct,10,IL,I2,T1,73,26.15322222
M1,15,Oct,11,IL,I2,T1,34,25.82140972
M1,16,Oct,12,IL,I2,T1,70,26.21244444
M1,17,Oct,13,IL,I2,T1,49,25.99104861
M1,18,Oct,14,IL,I2,T1,0,25.66329167
M1,19,Oct,15,IL,I2,T1,0,25.88149306
M1,20,Oct,16,IL,I2,T1,0,26.04179861
M1,21,Oct,17,IL,I2,T1,0,25.71577083
M1,22,Oct,18,IL,I2,T1,0,26.05463194
M1,23,Oct,19,IL,I2,T1,0,26.19965278
M1,24,Oct,20,IL,I2,T1,NA,25.88213889
M1,25,Oct,21,IL,I2,T1,NA,25.56190972
M1,26,Oct,22,IL,I2,T1,NA,25.95595139
M1,27,Oct,23,IL,I2,T1,NA,26.56115278
M1,28,Oct,24,IL,I2,T1,NA,26.25649306
M1,1,Sep,26,IL,I3,T1,NA,NA
M1,2,Sep,27,IL,I3,T1,NA,NA
M1,3,Sep,28,IL,I3,T1,NA,NA
M1,4,Sep,29,IL,I3,T1,NA,NA
