M,colony_id,Date,lunar_day,acf_rank,RO
M1,I1,2023/11/13,1,1,3
M1,I1,2023/11/14,2,2,0
M1,I1,2023/11/15,3,3,19
M1,I1,2023/11/16,4,4,11
M1,I1,2023/11/17,5,5,16
M1,I1,2023/11/18,6,6,18
M1,I1,2023/11/19,7,7,2
M1,I1,2023/11/20,8,8,6
M1,I1,2023/11/21,9,9,1
M1,I1,2023/11/22,10,10,0
M1,I1,2023/11/23,11,11,0
M1,I1,2023/11/24,12,12,0
M1,I1,2023/11/25,13,13,0
M1,I1,2023/11/26,14,14,0
M1,I1,2023/11/27,15,15,0
M1,I1,2023/11/28,16,16,0
M1,I1,2023/11/29,17,17,0
M1,I1,2023/11/30,18,18,0
M1,I1,2023/12/1,19,19,0
M1,I1,2023/12/2,20,20,0
M1,I1,2023/12/3,21,21,0
M1,I1,2023/12/4,22,22,0
M1,I1,2023/12/5,23,23,0
M1,I1,2023/12/6,24,24,0
M1,I1,2023/12/7,25,25,0
M1,I1,2023/12/8,26,26,0
M1,I1,2023/12/9,27,27,0
M1,I1,2023/12/10,28,28,0
M1,I1,2023/12/11,29,29,0
M1,I1,2023/12/12,30,30,0
M2,I1,2023/12/13,1,31,0
M2,I1,2023/12/14,2,32,4
M2,I1,2023/12/15,3,33,0
M2,I1,2023/12/16,4,34,0
M2,I1,2023/12/17,5,35,0
M2,I1,2023/12/18,6,36,0
M2,I1,2023/12/19,7,37,0
M2,I1,2023/12/20,8,38,0
M2,I1,2023/12/21,9,39,0
M2,I1,2023/12/22,10,40,0
M2,I1,2023/12/23,11,41,0
M2,I1,2023/12/24,12,42,0
M2,I1,2023/12/25,13,43,0
M2,I1,2023/12/26,14,44,0
M2,I1,2023/12/27,15,45,0
M2,I1,2023/12/28,16,46,0
M2,I1,2023/12/29,17,47,0
M2,I1,2023/12/30,18,48,0
M2,I1,2023/12/31,19,49,0
M2,I1,2024/1/1,20,50,0
M2,I1,2024/1/2,21,51,0
M2,I1,2024/1/3,22,52,0
M2,I1,2024/1/4,23,53,0
M2,I1,2024/1/5,24,54,0
M2,I1,2024/1/6,25,55,0
M2,I1,2024/1/7,26,56,0
M2,I1,2024/1/8,27,57,11
M2,I1,2024/1/9,28,58,14
M2,I1,2024/1/10,29,59,2
M3,I1,2024/1/11,1,60,1
M3,I1,2024/1/12,2,61,5
M3,I1,2024/1/13,3,62,2
M3,I1,2024/1/14,4,63,4
M3,I1,2024/1/15,5,64,0
M3,I1,2024/1/16,6,65,0
M3,I1,2024/1/17,7,66,0
M3,I1,2024/1/18,8,67,1
M3,I1,2024/1/19,9,68,3
M3,I1,2024/1/20,10,69,0
M3,I1,2024/1/21,11,70,0
M3,I1,2024/1/22,12,71,0
M3,I1,2024/1/23,13,72,0
M3,I1,2024/1/24,14,73,0
M3,I1,2024/1/25,15,74,0
M3,I1,2024/1/26,16,75,0
M3,I1,2024/1/27,17,76,0
M3,I1,2024/1/28,18,77,0
M3,I1,2024/1/29,19,78,0
M3,I1,2024/1/30,20,79,0
M3,I1,2024/1/31,21,80,0
M3,I1,2024/2/1,22,81,0
M3,I1,2024/2/2,23,82,0
M3,I1,2024/2/3,24,83,0
