Group,Group2,Source,Lunar,RO,Temp
Group1,GroupA,IL,10-Nov,3,23.39176104
Group1,GroupA,IL,11-Nov,0,23.90860835
Group1,GroupA,IL,13-Nov,0,23.94100708
Group1,GroupA,IL,23-Nov,0,23.74229485
Group1,GroupA,IL,24-Nov,0,23.74713604
Group1,GroupA,IL,30-Nov,41,23.83018107
Group1,GroupA,IL,11-Dec,0,23.73581511
Group1,GroupA,IL,12-Dec,0,22.95638353
Group1,GroupA,IL,13-Dec,0,22.88570216
Group1,GroupA,IL,14-Dec,0,23.36475652
Group1,GroupA,IL,15-Dec,0,23.62409534
Group1,GroupA,IL,16-Dec,0,23.98539707
Group1,GroupA,IL,17-Dec,0,23.95217906
Group1,GroupA,IL,4-Jan,103,23.99582425
Group1,GroupA,OL,10-Nov,0,23.39176104
Group1,GroupA,OL,11-Nov,0,23.90860835
Group1,GroupA,OL,13-Nov,0,23.94100708
Group1,GroupA,OL,23-Nov,0,23.74229485
Group1,GroupA,OL,24-Nov,0,23.74713604
Group1,GroupA,OL,30-Nov,38,23.83018107
Group1,GroupA,OL,11-Dec,0,23.73581511
Group1,GroupA,OL,12-Dec,0,22.95638353
Group1,GroupA,OL,13-Dec,0,22.88570216
Group1,GroupA,OL,14-Dec,0,23.36475652
Group1,GroupA,OL,15-Dec,0,23.62409534
Group1,GroupA,OL,16-Dec,0,23.98539707
Group1,GroupA,OL,17-Dec,0,23.95217906
Group1,GroupA,OL,4-Jan,10,23.99582425
Group2,GroupA,IL,9-Nov,12,24.09490278
Group2,GroupA,IL,12-Nov,0,24.30156401
Group2,GroupA,IL,14-Nov,0,24.31586414
Group2,GroupA,IL,20-Nov,0,24.97188261
Group2,GroupA,IL,22-Nov,0,24.52239675
Group2,GroupA,IL,25-Nov,0,24.39369558
Group2,GroupA,IL,26-Nov,23,24.42974382
Group2,GroupA,IL,27-Nov,19,24.63836187
Group2,GroupA,IL,28-Nov,9,24.71403339
Group2,GroupA,IL,29-Nov,19,24.12906869
Group2,GroupA,IL,1-Dec,20,24.04676846
Group2,GroupA,IL,2-Dec,30,24.14992304
Group2,GroupA,IL,3-Dec,27,24.17532067
Group2,GroupA,IL,4-Dec,64,24.08698758
Group2,GroupA,IL,5-Dec,0,24.07440048
Group2,GroupA,IL,6-Dec,10,24.38885439
Group2,GroupA,IL,7-Dec,3,24.83766993
Group2,GroupA,IL,8-Dec,0,24.96227471
Group2,GroupA,IL,10-Dec,0,24.62897741
Group2,GroupA,IL,18-Dec,0,24.4704843
Group2,GroupA,IL,19-Dec,0,24.84683095
Group2,GroupA,IL,1-Jan,111,24.55107149
Group2,GroupA,IL,2-Jan,54,24.33612266
Group2,GroupA,IL,3-Jan,137,24.25769538
Group2,GroupA,IL,5-Jan,430,24.21285851
Group2,GroupA,OL,9-Nov,1,24.09490278
Group2,GroupA,OL,12-Nov,2,24.30156401
Group2,GroupA,OL,14-Nov,0,24.31586414
Group2,GroupA,OL,20-Nov,0,24.97188261
Group2,GroupA,OL,22-Nov,0,24.52239675
Group2,GroupA,OL,25-Nov,0,24.39369558
Group2,GroupA,OL,26-Nov,61,24.42974382
Group2,GroupA,OL,27-Nov,31,24.63836187
Group2,GroupA,OL,28-Nov,245,24.71403339
Group2,GroupA,OL,29-Nov,152,24.12906869
Group2,GroupA,OL,1-Dec,44,24.04676846
Group2,GroupA,OL,2-Dec,47,24.14992304
Group2,GroupA,OL,3-Dec,62,24.17532067
Group2,GroupA,OL,4-Dec,109,24.08698758
Group2,GroupA,OL,5-Dec,0,24.07440048
Group2,GroupA,OL,6-Dec,9,24.38885439
Group2,GroupA,OL,7-Dec,1,24.83766993
Group2,GroupA,OL,8-Dec,0,24.96227471
Group2,GroupA,OL,10-Dec,0,24.62897741
Group2,GroupA,OL,18-Dec,0,24.4704843
Group2,GroupA,OL,19-Dec,0,24.84683095
Group2,GroupA,OL,1-Jan,7,24.55107149
Group2,GroupA,OL,2-Jan,3,24.33612266
Group2,GroupA,OL,3-Jan,5,24.25769538
Group2,GroupA,OL,5-Jan,11,24.21285851
Group2,GroupA,IL,9-Nov,12,24.09490278
Group2,GroupA,IL,12-Nov,0,24.30156401
Group2,GroupA,IL,14-Nov,0,24.31586414
Group2,GroupA,IL,20-Nov,0,24.97188261
Group2,GroupA,IL,22-Nov,0,24.52239675
Group2,GroupA,IL,25-Nov,0,24.39369558
Group2,GroupA,IL,26-Nov,23,24.42974382
Group2,GroupA,IL,27-Nov,19,24.63836187
Group2,GroupA,IL,28-Nov,9,24.71403339
Group2,GroupA,IL,29-Nov,19,24.12906869
Group2,GroupA,IL,1-Dec,20,24.04676846
Group2,GroupA,IL,2-Dec,30,24.14992304
Group2,GroupA,IL,3-Dec,27,24.17532067
Group2,GroupA,IL,4-Dec,64,24.08698758
Group2,GroupA,IL,5-Dec,0,24.07440048
Group2,GroupA,IL,6-Dec,10,24.38885439
Group2,GroupA,IL,7-Dec,3,24.83766993
Group2,GroupA,IL,8-Dec,0,24.96227471
Group2,GroupA,IL,10-Dec,0,24.62897741
Group2,GroupA,IL,18-Dec,0,24.4704843
Group2,GroupA,IL,19-Dec,0,24.84683095
Group2,GroupA,IL,1-Jan,111,24.55107149
Group2,GroupA,IL,2-Jan,54,24.33612266
Group2,GroupA,IL,3-Jan,137,24.25769538
Group2,GroupA,IL,5-Jan,430,24.21285851
Group2,GroupA,OL,9-Nov,1,24.09490278
Group2,GroupA,OL,12-Nov,2,24.30156401
Group2,GroupA,OL,14-Nov,0,24.31586414
Group2,GroupA,OL,20-Nov,0,24.97188261
Group2,GroupA,OL,22-Nov,0,24.52239675
Group2,GroupA,OL,25-Nov,0,24.39369558
Group2,GroupA,OL,26-Nov,61,24.42974382
Group2,GroupA,OL,27-Nov,31,24.63836187
