Lunar_Month_Year,Source,Tank_ID,ID,RO,Measured_month,Fvfm
Oct_2023,IL,T1,I1,76,1st ,696.6666667
Oct_2023,IL,T1,I2,357,1st ,680
Oct_2023,IL,T1,I3,720,1st ,680.3333333
Oct_2023,IL,T2,I4,2046,1st ,728
Oct_2023,IL,T2,I5,166,1st ,672.3333333
Oct_2023,IL,T2,I6,68,1st ,691.6666667
Oct_2023,IL,T3,I7,31,1st ,688
Oct_2023,IL,T3,I8,795,1st ,698.6666667
Oct_2023,IL,T3,I9,2915,1st ,674.6666667
Nov_2023,IL,T1,I1,4,2nd ,741
Nov_2023,IL,T1,I2,15,2nd ,692.3333333
Nov_2023,IL,T1,I3,10,2nd ,691.3333333
Nov_2023,IL,T2,I4,97,2nd ,708.6666667
Nov_2023,IL,T2,I5,209,2nd ,690.3333333
Nov_2023,IL,T2,I6,5,2nd ,692.6666667
Nov_2023,IL,T3,I7,0,2nd ,709.6666667
Nov_2023,IL,T3,I8,0,2nd ,717.3333333
Nov_2023,IL,T3,I9,0,2nd ,663.3333333
Dec_2023,IL,T1,I1,43,3rd,723.3333333
Dec_2023,IL,T1,I2,18,3rd,697.3333333
Dec_2023,IL,T1,I3,19,3rd,713.6666667
Dec_2023,IL,T2,I4,9,3rd,700
Dec_2023,IL,T2,I5,30,3rd,672.6666667
Dec_2023,IL,T2,I6,42,3rd,694.6666667
Dec_2023,IL,T3,I7,13,3rd,686.6666667
Dec_2023,IL,T3,I8,0,3rd,697.3333333
Dec_2023,IL,T3,I9,0,3rd,721.3333333
Jan_2024,IL,T1,I1,18,4th,0
Jan_2024,IL,T1,I2,0,4th,0
Jan_2024,IL,T1,I3,303,4th,0
Jan_2024,IL,T2,I4,87,4th,0
Jan_2024,IL,T2,I5,32,4th,0
Jan_2024,IL,T2,I6,763,4th,0
Jan_2024,IL,T3,I7,4,4th,0
Jan_2024,IL,T3,I8,1,4th,0
Jan_2024,IL,T3,I9,22,4th,0
Oct_2023,OL,T1,O1,58,1st ,746.3333333
Oct_2023,OL,T1,O2,20,1st ,703
Oct_2023,OL,T1,O3,30,1st ,704
Oct_2023,OL,T2,O4,149,1st ,698
Oct_2023,OL,T2,O5,130,1st ,711.6666667
Oct_2023,OL,T2,O6,112,1st ,724.6666667
Oct_2023,OL,T3,O7,35,1st ,729.3333333
Oct_2023,OL,T3,O8,33,1st ,711.3333333
Oct_2023,OL,T3,O9,52,1st ,682
Nov_2023,OL,T1,O1,8,2nd ,684.6666667
Nov_2023,OL,T1,O2,13,2nd ,717.3333333
Nov_2023,OL,T1,O3,18,2nd ,729.3333333
Nov_2023,OL,T2,O4,189,2nd ,719.3333333
Nov_2023,OL,T2,O5,90,2nd ,732.6666667
Nov_2023,OL,T2,O6,20,2nd ,744.6666667
Nov_2023,OL,T3,O7,0,2nd ,694.3333333
Nov_2023,OL,T3,O8,1,2nd ,726.6666667
Nov_2023,OL,T3,O9,0,2nd ,736.6666667
Dec_2023,OL,T1,O1,111,3rd,732.6666667
Dec_2023,OL,T1,O2,146,3rd,753.6666667
Dec_2023,OL,T1,O3,120,3rd,722.6666667
Dec_2023,OL,T2,O4,61,3rd,708.3333333
Dec_2023,OL,T2,O5,60,3rd,720.3333333
Dec_2023,OL,T2,O6,129,3rd,701.6666667
Dec_2023,OL,T3,O7,0,3rd,706.6666667
Dec_2023,OL,T3,O8,1,3rd,703
Dec_2023,OL,T3,O9,0,3rd,694
Jan_2024,OL,T1,O1,115,4th,0
Jan_2024,OL,T1,O2,5,4th,0
Jan_2024,OL,T1,O3,26,4th,0
Jan_2024,OL,T2,O4,10,4th,0
Jan_2024,OL,T2,O5,50,4th,0
Jan_2024,OL,T2,O6,15,4th,0
Jan_2024,OL,T3,O7,6,4th,0
Jan_2024,OL,T3,O8,0,4th,0
Jan_2024,OL,T3,O9,3,4th,0
Mar_2024,IL,T1,I1,9,6th,0
Mar_2024,IL,T1,I2,27,6th,0
Mar_2024,IL,T1,I3,35,6th,0
Mar_2024,IL,T2,I4,15,6th,0
Mar_2024,IL,T2,I5,531,6th,0
Mar_2024,IL,T2,I6,81,6th,0
Mar_2024,IL,T3,I7,7,6th,0
Mar_2024,IL,T3,I8,23,6th,0
Mar_2024,IL,T3,I9,464,6th,0
Mar_2024,OL,T1,O1,63,6th,0
Mar_2024,OL,T1,O2,22,6th,0
Mar_2024,OL,T1,O3,8,6th,0
Mar_2024,OL,T2,O4,76,6th,0
Mar_2024,OL,T2,O5,98,6th,0
Mar_2024,OL,T2,O6,28,6th,0
Mar_2024,OL,T3,O7,596,6th,0
Mar_2024,OL,T3,O8,172,6th,0
Mar_2024,OL,T3,O9,291,6th,0
