Source,Lunar,RO,Temp
IL,10-Oct,571,26.15322222
IL,11-Oct,554,25.82140972
IL,12-Oct,633,26.21244444
IL,13-Oct,404,25.99104861
IL,14-Oct,222,25.66329167
IL,15-Oct,220,25.88149306
IL,16-Oct,67,26.04179861
IL,17-Oct,145,25.71577083
IL,18-Oct,50,26.05463194
IL,19-Oct,17,26.19965278
IL,20-Oct,18,25.88213889
IL,21-Oct,23,25.56190972
IL,22-Oct,1,25.95595139
IL,23-Oct,1,26.56115278
IL,24-Oct,0,26.25649306
IL,25-Oct,0,26.13804167
IL,26-Oct,0,25.51002083
IL,27-Oct,0,25.72272917
IL,28-Oct,0,26.31446528
IL,29-Oct,0,27.90640278
IL,30-Oct,0,28.39379167
IL,31-Oct,0,27.65970139
IL,1-Nov,63,27.23138194
IL,2-Nov,118,27.23614583
IL,3-Nov,118,26.80969444
IL,4-Nov,22,26.16579861
IL,5-Nov,1,26.00052778
IL,6-Nov,2,26.31161806
IL,7-Nov,1,26.22404861
IL,8-Nov,0,25.07334028
IL,9-Nov,12,24.09490278
IL,10-Nov,3,23.39176104
IL,11-Nov,0,23.90860835
IL,12-Nov,0,24.30156401
IL,13-Nov,0,23.94100708
IL,14-Nov,0,24.31586414
IL,15-Nov,0,25.05686412
IL,16-Nov,0,25.75600642
IL,17-Nov,0,26.01445148
IL,18-Nov,0,26.58608429
IL,19-Nov,0,26.07850415
IL,20-Nov,0,24.97188261
IL,21-Nov,0,25.02275235
IL,22-Nov,0,24.52239675
IL,23-Nov,0,23.74229485
IL,24-Nov,0,23.74713604
IL,25-Nov,0,24.39369558
IL,26-Nov,23,24.42974382
IL,27-Nov,19,24.63836187
IL,28-Nov,9,24.71403339
IL,29-Nov,19,24.12906869
IL,30-Nov,41,23.83018107
IL,1-Dec,20,24.04676846
IL,2-Dec,30,24.14992304
IL,3-Dec,27,24.17532067
IL,4-Dec,64,24.08698758
IL,5-Dec,0,24.07440048
IL,6-Dec,10,24.38885439
IL,7-Dec,3,24.83766993
IL,8-Dec,0,24.96227471
IL,9-Dec,0,25.17625531
IL,10-Dec,0,24.62897741
IL,11-Dec,0,23.73581511
IL,12-Dec,0,22.95638353
IL,13-Dec,0,22.88570216
IL,14-Dec,0,23.36475652
IL,15-Dec,0,23.62409534
IL,16-Dec,0,23.98539707
IL,17-Dec,0,23.95217906
IL,18-Dec,0,24.4704843
IL,19-Dec,0,24.84683095
IL,20-Dec,0,25.10698905
IL,21-Dec,0,25.22071977
IL,22-Dec,0,25.40557875
IL,23-Dec,0,25.71936234
IL,24-Dec,81,26.14158858
IL,25-Dec,55,26.29248474
IL,26-Dec,10,25.88351591
IL,27-Dec,24,25.53070489
IL,28-Dec,5,25.2065686
IL,1-Jan,111,24.55107149
IL,2-Jan,54,24.33612266
IL,3-Jan,137,24.25769538
IL,4-Jan,103,23.99582425
IL,5-Jan,430,24.21285851
IL,6-Jan,172,25.13253564
IL,7-Jan,11,25.43604101
IL,8-Jan,37,25.07312844
OL,10-Oct,14,26.15322222
OL,11-Oct,5,25.82140972
OL,12-Oct,0,26.21244444
OL,13-Oct,0,25.99104861
OL,14-Oct,0,25.66329167
OL,15-Oct,0,25.88149306
OL,16-Oct,0,26.04179861
OL,17-Oct,0,25.71577083
OL,18-Oct,0,26.05463194
OL,19-Oct,0,26.19965278
OL,20-Oct,0,25.88213889
OL,21-Oct,0,25.56190972
OL,22-Oct,0,25.95595139
OL,23-Oct,0,26.56115278
OL,24-Oct,0,26.25649306
OL,25-Oct,0,26.13804167
OL,26-Oct,0,25.51002083
OL,27-Oct,0,25.72272917
OL,28-Oct,0,26.31446528
OL,29-Oct,0,27.90640278
OL,30-Oct,27,28.39379167
OL,31-Oct,19,27.65970139
OL,1-Nov,7,27.23138194
OL,2-Nov,16,27.23614583
OL,3-Nov,6,26.80969444
OL,4-Nov,102,26.16579861
OL,5-Nov,53,26.00052778
OL,6-Nov,68,26.31161806
OL,7-Nov,28,26.22404861
OL,8-Nov,10,25.07334028
OL,9-Nov,1,24.09490278
OL,10-Nov,0,23.39176104
OL,11-Nov,0,23.90860835
OL,12-Nov,2,24.30156401
OL,13-Nov,0,23.94100708
OL,14-Nov,0,24.31586414
OL,15-Nov,0,25.05686412
OL,16-Nov,0,25.75600642
OL,17-Nov,0,26.01445148
OL,18-Nov,0,26.58608429
OL,19-Nov,0,26.07850415
OL,20-Nov,0,24.97188261
OL,21-Nov,0,25.02275235
OL,22-Nov,0,24.52239675
OL,23-Nov,0,23.74229485
OL,24-Nov,0,23.74713604
OL,25-Nov,0,24.39369558
OL,26-Nov,61,24.42974382
OL,27-Nov,31,24.63836187
OL,28-Nov,245,24.71403339
OL,29-Nov,152,24.12906869
OL,30-Nov,38,23.83018107
OL,1-Dec,44,24.04676846
OL,2-Dec,47,24.14992304
OL,3-Dec,62,24.17532067
OL,4-Dec,109,24.08698758
OL,5-Dec,0,24.07440048
OL,6-Dec,9,24.38885439
OL,7-Dec,1,24.83766993
OL,8-Dec,0,24.96227471
OL,9-Dec,0,25.17625531
OL,10-Dec,0,24.62897741
OL,11-Dec,0,23.73581511
OL,12-Dec,0,22.95638353
OL,13-Dec,0,22.88570216
OL,14-Dec,0,23.36475652
OL,15-Dec,0,23.62409534
OL,16-Dec,0,23.98539707
OL,17-Dec,0,23.95217906
OL,18-Dec,0,24.4704843
OL,19-Dec,0,24.84683095
OL,20-Dec,0,25.10698905
OL,21-Dec,0,25.22071977
OL,22-Dec,0,25.40557875
OL,23-Dec,0,25.71936234
OL,24-Dec,5,26.14158858
OL,25-Dec,15,26.29248474
OL,26-Dec,4,25.88351591
OL,27-Dec,6,25.53070489
OL,28-Dec,1,25.2065686
OL,1-Jan,7,24.55107149
OL,2-Jan,3,24.33612266
OL,3-Jan,5,24.25769538
OL,4-Jan,10,23.99582425
OL,5-Jan,11,24.21285851
OL,6-Jan,71,25.13253564
OL,7-Jan,28,25.43604101
OL,8-Jan,66,25.07312844
