Date,Lunar,Month,Site,ID,Tank,TLE,fvfm,RO
2023/10/24,2023/9/10,M1,OL,OL_PA1,T1,192,0.746333333,58
2023/10/24,2023/9/10,M1,OL,OL_PA2,T1,267,0.703,20
2023/10/24,2023/9/10,M1,OL,OL_PA3,T1,222,0.704,19
2023/10/24,2023/9/10,M1,OL,OL_PA4,T2,207,0.698,149
2023/10/24,2023/9/10,M1,OL,OL_PA5,T2,265,0.711666667,118
2023/10/24,2023/9/10,M1,OL,OL_PA6,T2,211,0.724666667,109
2023/10/24,2023/9/10,M1,OL,OL_PA7,T3,212,0.729333333,35
2023/10/24,2023/9/10,M1,OL,OL_PA8,T3,194,0.711333333,33
2023/10/24,2023/9/10,M1,OL,OL_PA9,T3,242,0.682,52
2023/10/24,2023/9/10,M1,Inlet,InL_PA1,T1,206,0.696666667,76
2023/10/24,2023/9/10,M1,Inlet,InL_PA2,T1,179,0.68,357
2023/10/24,2023/9/10,M1,Inlet,InL_PA3,T1,232,0.680333333,720
2023/10/24,2023/9/10,M1,Inlet,InL_PA4,T2,296,0.728,2046
2023/10/24,2023/9/10,M1,Inlet,InL_PA5,T2,270,0.672333333,166
2023/10/24,2023/9/10,M1,Inlet,InL_PA6,T2,198,0.691666667,68
2023/10/24,2023/9/10,M1,Inlet,InL_PA7,T3,243,0.688,31
2023/10/24,2023/9/10,M1,Inlet,InL_PA8,T3,320,0.698666667,795
2023/10/24,2023/9/10,M1,Inlet,InL_PA9,T3,299,0.674666667,2915
2024/3/14,2024/2/5,M4,OL,OL_PA1,T1,211,0.715666667,115
2024/3/14,2024/2/5,M4,OL,OL_PA2,T1,272,0.714333333,5
2024/3/14,2024/2/5,M4,OL,OL_PA3,T1,228,0.706333333,26
2024/3/14,2024/2/5,M4,OL,OL_PA4,T2,217,0.687666667,10
2024/3/14,2024/2/5,M4,OL,OL_PA5,T2,255,0.742333333,50
2024/3/14,2024/2/5,M4,OL,OL_PA6,T2,219.5,0.729,15
2024/3/14,2024/2/5,M4,OL,OL_PA7,T3,234,0.713,6
2024/3/14,2024/2/5,M4,OL,OL_PA8,T3,199,0.714333333,0
2024/3/14,2024/2/5,M4,OL,OL_PA9,T3,261,0.720666667,3
2024/3/14,2024/2/5,M4,Inlet,InL_PA1,T1,218,0.699,18
2024/3/14,2024/2/5,M4,Inlet,InL_PA2,T1,274,0.698666667,0
2024/3/14,2024/2/5,M4,Inlet,InL_PA3,T1,252,0.718,303
2024/3/14,2024/2/5,M4,Inlet,InL_PA4,T2,321,0.730666667,87
2024/3/14,2024/2/5,M4,Inlet,InL_PA5,T2,293,0.701666667,32
2024/3/14,2024/2/5,M4,Inlet,InL_PA6,T2,288,0.721,763
2024/3/14,2024/2/5,M4,Inlet,InL_PA7,T3,243,0.736666667,4
2024/3/14,2024/2/5,M4,Inlet,InL_PA8,T3,339,0.670333333,1
2024/3/14,2024/2/5,M4,Inlet,InL_PA9,T3,296,0.696666667,22
