Date,Tank,Daily_mean
2023/11/22,T1,26.15322222
2023/11/23,T1,25.82140972
2023/11/24,T1,26.21244444
2023/11/25,T1,25.99104861
2023/11/26,T1,25.66329167
2023/11/27,T1,25.88149306
2023/11/28,T1,26.04179861
2023/11/29,T1,25.71577083
2023/11/30,T1,26.05463194
2023/12/1,T1,26.19965278
2023/12/2,T1,25.88213889
2023/12/3,T1,25.56190972
2023/12/4,T1,25.95595139
2023/12/5,T1,26.56115278
2023/12/6,T1,26.25649306
2023/12/7,T1,26.13804167
2023/12/8,T1,25.51002083
2023/12/9,T1,25.72272917
2023/12/10,T1,26.31446528
2023/12/11,T1,27.90640278
2023/12/12,T1,28.39379167
2023/12/13,T1,27.65970139
2023/12/14,T1,27.23138194
2023/12/15,T1,27.23614583
2023/12/16,T1,26.80969444
2023/12/17,T1,26.16579861
2023/12/18,T1,26.00052778
2023/12/19,T1,26.31161806
2023/12/20,T1,26.22404861
2023/12/21,T1,25.07334028
2023/12/22,T1,24.09490278
2023/12/23,T1,23.39176104
2023/12/24,T1,23.90860835
2023/12/25,T1,24.30156401
2023/12/26,T1,23.94100708
2023/12/27,T1,24.31586414
2023/12/28,T1,25.05686412
2023/12/29,T1,25.75600642
2023/12/30,T1,26.01445148
2023/12/31,T1,26.58608429
2024/1/1,T1,26.07850415
2024/1/2,T1,24.97188261
2024/1/3,T1,25.02275235
2024/1/4,T1,24.52239675
2024/1/5,T1,23.74229485
2024/1/6,T1,23.74713604
2024/1/7,T1,24.39369558
2024/1/8,T1,24.42974382
2024/1/9,T1,24.63836187
2024/1/10,T1,24.71403339
2024/1/11,T1,24.12906869
2024/1/12,T1,23.83018107
2024/1/13,T1,24.04676846
2024/1/14,T1,24.14992304
2024/1/15,T1,24.17532067
2024/1/16,T1,24.08698758
2024/1/17,T1,24.07440048
2024/1/18,T1,24.38885439
2024/1/19,T1,24.83766993
2024/1/20,T1,24.96227471
2024/1/21,T1,25.17625531
2024/1/22,T1,24.62897741
2024/1/23,T1,23.73581511
2024/1/24,T1,22.95638353
2024/1/25,T1,22.88570216
2024/1/26,T1,23.36475652
2024/1/27,T1,23.62409534
2024/1/28,T1,23.98539707
2024/1/29,T1,23.95217906
2024/1/30,T1,24.4704843
2024/1/31,T1,24.84683095
2024/2/1,T1,25.10698905
2024/2/2,T1,25.22071977
2024/2/3,T1,25.40557875
