Date,Tank,alk,pH,PHOS,Ca,Mg,AMMO,NITRITE,NITRATE
2023_11,T1,6.4 ,8.1 ,0.1 ,421 ,"1,256 ",0.1 ,0.0 ,0.0 
2023_11,T2,5.7 ,8.2 ,0.1 ,435 ,"1,257 ",0.1 ,0.0 ,1.0 
2023_11,T3,5.4 ,8.0 ,0.1 ,410 ,"1,306 ",0.1 ,0.0 ,0.0 
2023_11,Feeding,5.9 ,8.0 ,0.1 ,412 ,"1,213 ",0.1 ,0.0 ,0.0 
2023_12,T1,4.0 ,8.3 ,0.1 ,427 ,"1,318 ",0.1 ,0.0 ,0.0 
2023_12,T2,4.2 ,8.3 ,0.1 ,420 ,"1,232 ",0.1 ,0.0 ,0.0 
2023_12,T3,4.3 ,8.2 ,0.2 ,434 ,"1,148 ",0.0 ,0.0 ,1.0 
2023_12,Feeding,5.8 ,7.9 ,0.8 ,441 ,"1,181 ",0.2 ,0.1 ,4.0 
2024_01,T1,4.8 ,7.9 ,0.7 ,405 ,"1,458 ",0.0 ,0.1 ,2.0 
2024_01,T2,3.8 ,8.1 ,0.2 ,395 ,"1,257 ",0.2 ,0.2 ,0.0 
2024_01,T3,3.7 ,8.1 ,0.2 ,408 ,"1,226 ",0.1 ,0.0 ,1.0 
2024_01,Feeding,6.1 ,8.2 ,0.7 ,461 ,"1,256 ",0.1 ,0.0 ,1.0 
2024_02,T1,3.7 ,8.2 ,0.1 ,413 ,"1,239 ",0.1 ,0.0 ,0.0 
2024_02,T2,3.8 ,8.3 ,0.1 ,426 ,"1,224 ",0.1 ,0.0 ,1.0 
2024_02,T3,3.6 ,8.2 ,0.1 ,417 ,"1,230 ",0.1 ,0.0 ,1.0 
2024_02,Feeding,5.3 ,8.1 ,0.9 ,438 ,"1,339 ",0.1 ,0.0 ,0.0 
2024_3,T1,4.8 ,7.9 ,0.7 ,408 ,"1,458 ",0.0 ,0.1 ,2.0 
2024_3,T2,3.8 ,8.1 ,0.2 ,395 ,"1,257 ",0.2 ,0.0 ,0.0 
2024_3,T3,3.7 ,8.1 ,0.2 ,408 ,"1,226 ",0.1 ,0.0 ,1.0 
2024_3,Feeding,6.1 ,8.2 ,0.7 ,461 ,"1,256 ",0.1 ,0.0 ,1.0 
2024_4,T1,4.4 ,8.3 ,0.2 ,401 ,"1,260 ",0.1 ,0.0 ,0.0 
2024_4,T2,3.8 ,8.3 ,0.2 ,402 ,"1,219 ",0.2 ,0.0 ,1.0 
2024_4,T3,3.7 ,8.3 ,0.1 ,414 ,"1,178 ",0.1 ,0.0 ,1.0 
2024_4,Feeding,5.9 ,8.2 ,0.7 ,402 ,"1,308 ",0.1 ,0.0 ,0.0 
2024_5,T1,4.7 ,8.1 ,0.2 ,409 ,"1,294 ",0.2 ,0.0 ,0.0 
2024_5,T2,4.7 ,8.2 ,0.2 ,410 ,"1,203 ",0.2 ,0.0 ,1.0 
2024_5,T3,4.5 ,8.2 ,0.2 ,415 ,"1,196 ",0.1 ,0.0 ,0.0 
2024_5,Feeding,4.7 ,7.8 ,0.6 ,415 ,"1,217 ",0.1 ,0.0 ,0.0 
